iteration,steps_per_second,learning_s,collection_s,mean_reward,mean_ep_length,value_loss,surrogate_loss,entropy,learning_rate
0,36.0,64.21443176269531,19.184465408325195,-0.3095802664756775,28.25,0.01123353373259306,-0.0036806438583880663,0.6247972249984741,0.0003000000142492354
1,50.0,42.507476806640625,18.227102279663086,-0.846162736415863,51.78571319580078,0.04824230819940567,-0.0017535937950015068,0.6278969049453735,0.0003000000142492354
2,55.0,37.34371566772461,18.401782989501953,-1.4000805616378784,75.04545593261719,0.0565626323223114,-0.0032498687505722046,0.6303762197494507,0.0003000000142492354
3,45.0,49.46891403198242,18.313526153564453,-2.1071393489837646,111.75675964355469,0.07812239974737167,-0.0019792155362665653,0.6204745769500732,0.0003000000142492354
4,44.0,50.525718688964844,18.814512252807617,-2.4945313930511475,132.64151000976562,0.08023924380540848,-0.003489443566650152,0.6135771870613098,0.0003000000142492354
5,51.0,41.53168869018555,17.91501235961914,-2.7094619274139404,137.01449584960938,0.08001802861690521,-0.0030315020121634007,0.6174799203872681,0.0003000000142492354
6,54.0,38.536476135253906,17.96066665649414,-2.927928924560547,150.51898193359375,0.04709378257393837,-0.00396144762635231,0.6192129850387573,0.0003000000142492354
7,58.0,34.88484573364258,17.360504150390625,-2.9722726345062256,152.84146118164062,0.03239823132753372,-0.0018307494465261698,0.6223254799842834,0.0003000000142492354
8,54.0,38.99755096435547,17.43842124938965,-3.157674551010132,169.46237182617188,0.057448290288448334,-0.0031397610437124968,0.6267067193984985,0.0003000000142492354
9,54.0,38.97063064575195,17.763402938842773,-3.525207757949829,193.75,0.05181558430194855,-0.002584748202934861,0.6241071224212646,0.0003000000142492354
10,57.0,35.89479064941406,17.179027557373047,-3.7378287315368652,210.82000732421875,0.021858712658286095,-0.0032228310592472553,0.6217579245567322,0.0003000000142492354
11,54.0,38.96919631958008,17.239761352539062,-4.027890205383301,225.82000732421875,0.03884902596473694,-0.00513436459004879,0.6231166124343872,0.0003000000142492354
12,52.0,39.509033203125,18.4722900390625,-4.288714408874512,242.32000732421875,0.0354718454182148,-0.00449756346642971,0.6246716380119324,0.0003000000142492354
13,53.0,39.00761795043945,18.076515197753906,-4.328701019287109,247.24000549316406,0.036045003682374954,-0.005574454087764025,0.6272343397140503,0.0003000000142492354
