iteration,total_steps,steps_per_second,collection_time_s,learning_time_s,mean_value_loss,mean_surrogate_loss,mean_entropy_loss,mean_reward,mean_episode_length,mean_action_std
71,221184,53,17.402,39.969,0.0237,-0.0061,0.5694,-5.15,358.43,0.29
72,224256,51,17.985,41.542,0.2699,-0.0043,0.5837,-5.2,380.08,0.3
73,227328,55,17.411,37.871,0.0175,-0.0086,0.5757,-5.21,377.19,0.3
74,230400,54,17.246,38.934,0.0164,-0.0061,0.5813,-4.92,357.89,0.3
75,233472,54,17.559,38.387,0.0173,-0.0072,0.5825,-4.6,334.22,0.3
76,236544,54,18.615,37.89,0.0238,-0.0059,0.581,-4.45,316.54,0.3
77,239616,56,18.108,35.883,0.0146,-0.0057,0.5753,-4.52,325.07,0.3
78,242688,55,19.169,35.879,0.0168,-0.0068,0.5738,-4.54,323.85,0.3
79,245760,56,17.752,36.352,0.0121,-0.0051,0.5686,-4.52,327.53,0.29
80,248832,53,18.539,38.9,0.0159,-0.0078,0.5566,-4.66,326.54,0.29
81,251904,57,17.205,36.36,0.0153,-0.0071,0.55,-4.74,340.93,0.29
82,254976,55,18.167,36.9,0.0229,-0.0075,0.5562,-4.75,334.83,0.29
83,258048,57,17.482,35.812,0.0235,-0.006,0.5653,-4.75,331.97,0.29
84,261120,53,17.827,39.433,0.0212,-0.0056,0.5688,-4.71,325.75,0.29
85,264192,56,17.847,36.866,0.0232,-0.0066,0.5671,-4.75,328.67,0.29
86,267264,57,17.153,36.347,0.0103,-0.0073,0.5588,-4.73,342.28,0.3
87,270336,54,17.414,39.468,0.0138,-0.0057,0.5588,-4.82,361.05,0.29
88,273408,55,18.334,36.828,0.0169,-0.0047,0.5626,-4.98,375.73,0.3
89,276480,56,17.829,36.346,0.0136,-0.0045,0.5683,-5.05,391.69,0.3
90,279552,56,18.226,35.82,0.0245,-0.0064,0.5607,-5.03,401.03,0.29
91,282624,53,18.478,38.484,0.0257,-0.0055,0.5521,-5.08,399.24,0.29
92,285696,52,18.816,39.588,0.0249,-0.0049,0.5486,-5.15,394.52,0.29
93,288768,55,17.646,37.244,0.0283,-0.0051,0.5601,-5.04,393.38,0.29
94,291840,54,17.215,38.77,0.0234,-0.0052,0.5631,-5.07,403.59,0.29
95,294912,56,17.52,37.198,0.0202,-0.0071,0.5694,-5.01,392.7,0.3
96,297984,54,19.45,36.664,0.0168,-0.0065,0.555,-4.97,399.41,0.29
97,301056,57,18.714,35.179,0.0183,-0.0067,0.5648,-5.01,391.89,0.29
98,304128,56,18.058,36.677,0.0134,-0.0059,0.5632,-5.06,396.46,0.29
99,307200,55,18.297,37.069,0.0184,-0.0069,0.5641,-5.09,385.86,0.3
